Order,Site,BIDS_subID,BIDS_session,BIDS_run,data_to_nifti,filter_count_runs_per_sub,filter_count_runs_per_session,Original_ID,Original_data_structure (subID to nifti),"Modality (T1w, T2w, T2*w, BOLD, etc)",Sex,Age(Years),Age(Weeks),Age(Days),DOB,Date of Scan,Experimental_Condition,Species,"Usage (PRIME1, UWMadison, PRIME2, BrainCharts)",Path to Raw Data Folder (ACCESS),Path to Raw Data Folder (Server),Notes,,JSON,Longitudinal_ID
21,site-NKIdev,001,004,1,sub-001/ses-004/anat/sub-001_ses-004_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211019_run-1_T1w.nii.gz,,T1w,M,0.20273917,10.5714286,74,8/6/21,10/19/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
22,site-NKIdev,001,004,2,sub-001/ses-004/anat/sub-001_ses-004_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211019_run-2_T1w.nii.gz,,T1w,M,0.20273917,10.5714286,74,8/6/21,10/19/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
23,site-NKIdev,001,004,1,sub-001/ses-004/anat/sub-001_ses-004_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211019_T2w.nii.gz,,T2w,M,0.20273917,10.5714286,74,8/6/21,10/19/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
24,site-NKIdev,001,004,1,001/004/func/sub-001_ses-004_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211019_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
25,site-NKIdev,001,004,2,001/004/func/sub-001_ses-004_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211019_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
26,site-NKIdev,001,004,3,001/004/func/sub-001_ses-004_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211019_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
27,site-NKIdev,001,005,1,sub-001/ses-005/anat/sub-001_ses-005_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211104_run-1_T1w.nii.gz,,T1w,M,0.24657467,12.8571429,90,8/6/21,11/4/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
28,site-NKIdev,001,005,2,sub-001/ses-005/anat/sub-001_ses-005_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211104_run-2_T1w.nii.gz,,T1w,M,0.24657467,12.8571429,90,8/6/21,11/4/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
29,site-NKIdev,001,005,1,sub-001/ses-005/anat/sub-001_ses-005_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211104_T2w.nii.gz,,T2w,M,0.24657467,12.8571429,90,8/6/21,11/4/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
30,site-NKIdev,001,005,1,001/005/func/sub-001_ses-005_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211104_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
31,site-NKIdev,001,005,2,001/005/func/sub-001_ses-005_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211104_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
32,site-NKIdev,001,005,3,001/005/func/sub-001_ses-005_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211104_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
33,site-NKIdev,001,006,1,sub-001/ses-006/anat/sub-001_ses-006_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211116_run-1_T1w.nii.gz,,T1w,M,0.27945129,14.5714286,102,8/6/21,11/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
34,site-NKIdev,001,006,2,sub-001/ses-006/anat/sub-001_ses-006_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211116_run-2_T1w.nii.gz,,T1w,M,0.27945129,14.5714286,102,8/6/21,11/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
35,site-NKIdev,001,006,1,sub-001/ses-006/anat/sub-001_ses-006_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211116_T2w.nii.gz,,T2w,M,0.27945129,14.5714286,102,8/6/21,11/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
36,site-NKIdev,001,006,1,001/006/func/sub-001_ses-006_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211116_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
37,site-NKIdev,001,006,2,001/006/func/sub-001_ses-006_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211116_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
38,site-NKIdev,001,006,3,001/006/func/sub-001_ses-006_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211116_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
39,site-NKIdev,001,007,1,sub-001/ses-007/anat/sub-001_ses-007_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211130_run-1_T1w.nii.gz,,T1w,M,0.31780735,16.5714286,116,8/6/21,11/30/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
40,site-NKIdev,001,007,2,sub-001/ses-007/anat/sub-001_ses-007_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211130_run-2_T1w.nii.gz,,T1w,M,0.31780735,16.5714286,116,8/6/21,11/30/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
41,site-NKIdev,001,007,1,sub-001/ses-007/anat/sub-001_ses-007_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211130_T2w.nii.gz,,T2w,M,0.31780735,16.5714286,116,8/6/21,11/30/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
42,site-NKIdev,001,007,1,001/007/func/sub-001_ses-007_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211130_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
43,site-NKIdev,001,007,2,001/007/func/sub-001_ses-007_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211130_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
44,site-NKIdev,001,007,3,001/007/func/sub-001_ses-007_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211130_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
45,site-NKIdev,001,008,1,sub-001/ses-008/anat/sub-001_ses-008_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211216_run-1_T1w.nii.gz,,T1w,M,0.36164284,18.8571429,132,8/6/21,12/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
46,site-NKIdev,001,008,2,sub-001/ses-008/anat/sub-001_ses-008_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211216_run-2_T1w.nii.gz,,T1w,M,0.36164284,18.8571429,132,8/6/21,12/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
47,site-NKIdev,001,008,1,sub-001/ses-008/anat/sub-001_ses-008_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211216_T2w.nii.gz,,T2w,M,0.36164284,18.8571429,132,8/6/21,12/16/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
48,site-NKIdev,001,008,1,001/008/func/sub-001_ses-008_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211216_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
49,site-NKIdev,001,008,2,001/008/func/sub-001_ses-008_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211216_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
50,site-NKIdev,001,008,3,001/008/func/sub-001_ses-008_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211216_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
51,site-NKIdev,001,009,1,sub-001/ses-009/anat/sub-001_ses-009_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211228_run-1_T1w.nii.gz,,T1w,M,0.39451947,20.5714286,144,8/6/21,12/28/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
52,site-NKIdev,001,009,2,sub-001/ses-009/anat/sub-001_ses-009_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211228_run-2_T1w.nii.gz,,T1w,M,0.39451947,20.5714286,144,8/6/21,12/28/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
53,site-NKIdev,001,009,1,sub-001/ses-009/anat/sub-001_ses-009_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211228_T2w.nii.gz,,T2w,M,0.39451947,20.5714286,144,8/6/21,12/28/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
54,site-NKIdev,001,009,1,001/009/func/sub-001_ses-009_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211228_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
55,site-NKIdev,001,009,2,001/009/func/sub-001_ses-009_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211228_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
56,site-NKIdev,001,009,3,001/009/func/sub-001_ses-009_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211228_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
57,site-NKIdev,001,010,1,sub-001/ses-010/anat/sub-001_ses-010_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220111_run-1_T1w.nii.gz,,T1w,M,0.43287553,22.5714286,158,8/6/21,1/11/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
58,site-NKIdev,001,010,2,sub-001/ses-010/anat/sub-001_ses-010_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220111_run-2_T1w.nii.gz,,T1w,M,0.43287553,22.5714286,158,8/6/21,1/11/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
59,site-NKIdev,001,010,1,sub-001/ses-010/anat/sub-001_ses-010_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220111_T2w.nii.gz,,T2w,M,0.43287553,22.5714286,158,8/6/21,1/11/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
60,site-NKIdev,001,010,1,001/010/func/sub-001_ses-010_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20220111_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
61,site-NKIdev,001,010,2,001/010/func/sub-001_ses-010_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20220111_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
62,site-NKIdev,001,010,3,001/010/func/sub-001_ses-010_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20220111_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
63,site-NKIdev,001,011,1,sub-001/ses-011/anat/sub-001_ses-011_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220125_run-1_T1w.nii.gz,,T1w,M,0.47123159,24.5714286,172,8/6/21,1/25/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
64,site-NKIdev,001,011,2,sub-001/ses-011/anat/sub-001_ses-011_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220125_run-2_T1w.nii.gz,,T1w,M,0.47123159,24.5714286,172,8/6/21,1/25/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
65,site-NKIdev,001,011,1,sub-001/ses-011/anat/sub-001_ses-011_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220125_T2w.nii.gz,,T2w,M,0.47123159,24.5714286,172,8/6/21,1/25/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
66,site-NKIdev,001,011,1,001/011/func/sub-001_ses-011_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20220125_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
67,site-NKIdev,001,011,2,001/011/func/sub-001_ses-011_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20220125_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
68,site-NKIdev,001,011,3,001/011/func/sub-001_ses-011_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20220125_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
69,site-NKIdev,001,012,1,sub-001/ses-012/anat/sub-001_ses-012_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220208_run-1_T1w.nii.gz,,T1w,M,0.50958764,26.5714286,186,8/6/21,2/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
70,site-NKIdev,001,012,2,sub-001/ses-012/anat/sub-001_ses-012_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220208_run-2_T1w.nii.gz,,T1w,M,0.50958764,26.5714286,186,8/6/21,2/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
71,site-NKIdev,001,012,1,sub-001/ses-012/anat/sub-001_ses-012_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220208_T2w.nii.gz,,T2w,M,0.50958764,26.5714286,186,8/6/21,2/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
72,site-NKIdev,001,013,1,sub-001/ses-013/anat/sub-001_ses-013_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220222_run-1_T1w.nii.gz,,T1w,M,0.5479437,28.5714286,200,8/6/21,2/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
73,site-NKIdev,001,013,2,sub-001/ses-013/anat/sub-001_ses-013_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220222_run-2_T1w.nii.gz,,T1w,M,0.5479437,28.5714286,200,8/6/21,2/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
74,site-NKIdev,001,013,1,sub-001/ses-013/anat/sub-001_ses-013_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220222_T2w.nii.gz,,T2w,M,0.5479437,28.5714286,200,8/6/21,2/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
75,site-NKIdev,001,013,1,001/013/func/sub-001_ses-013_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20220222_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
76,site-NKIdev,001,013,2,001/013/func/sub-001_ses-013_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20220222_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
77,site-NKIdev,001,013,3,001/013/func/sub-001_ses-013_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20220222_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
78,site-NKIdev,001,014,1,sub-001/ses-014/anat/sub-001_ses-014_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220308_run-1_T1w.nii.gz,,T1w,M,0.58629976,30.5714286,214,8/6/21,3/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
79,site-NKIdev,001,014,2,sub-001/ses-014/anat/sub-001_ses-014_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220308_run-2_T1w.nii.gz,,T1w,M,0.58629976,30.5714286,214,8/6/21,3/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
80,site-NKIdev,001,014,1,sub-001/ses-014/anat/sub-001_ses-014_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220308_T2w.nii.gz,,T2w,M,0.58629976,30.5714286,214,8/6/21,3/8/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
81,site-NKIdev,001,014,1,001/014/func/sub-001_ses-014_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20220308_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
82,site-NKIdev,001,014,2,001/014/func/sub-001_ses-014_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20220308_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
83,site-NKIdev,001,014,3,001/014/func/sub-001_ses-014_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20220308_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
84,site-NKIdev,001,015,1,sub-001/ses-015/anat/sub-001_ses-015_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20220322_run-1_T1w.nii.gz,,T1w,M,0.62465582,32.5714286,228,8/6/21,3/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
85,site-NKIdev,001,015,2,sub-001/ses-015/anat/sub-001_ses-015_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20220322_run-2_T1w.nii.gz,,T1w,M,0.62465582,32.5714286,228,8/6/21,3/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
86,site-NKIdev,001,015,1,sub-001/ses-015/anat/sub-001_ses-015_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20220322_T2w.nii.gz,,T2w,M,0.62465582,32.5714286,228,8/6/21,3/22/22,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
